Project Name,Pipeline URL,Status,Created At
cmw-domain-detail,https://gitlab.com/dish-cloud/sling/hydra/detail/cmw-domain-detail/-/pipelines/2040483668,manual,2025-09-15T14:35:36.275Z
cmw-experience-detail,https://gitlab.com/dish-cloud/sling/hydra/detail/cmw-experience-detail/-/pipelines/2039631303,failed,2025-09-15T07:44:14.727Z
cmw-experience-guide,https://gitlab.com/dish-cloud/sling/hydra/guide/cmw-experience-guide/-/pipelines/2040419714,success,2025-09-15T14:05:25.497Z
cmw-ribbon-factory,https://gitlab.com/dish-cloud/sling/hydra/go-library/cmw-ribbon-factory/-/pipelines/2003917717,skipped,2025-08-26T10:29:13.691Z
dvr-client,https://gitlab.com/dish-cloud/sling/hydra/go-library/dvr-client/-/pipelines/2003916820,skipped,2025-08-26T10:28:47.337Z
cmw-domain-guide,https://gitlab.com/dish-cloud/sling/hydra/guide/cmw-domain-guide/-/pipelines/2040437380,success,2025-09-15T14:11:38.595Z
ml-client,https://gitlab.com/dish-cloud/sling/hydra/go-library/ml-client/-/pipelines/2003917072,skipped,2025-08-26T10:28:56.125Z
cmw-experience-collections,https://gitlab.com/dish-cloud/sling/hydra/collections/cmw-experience-collections/-/pipelines/2040328987,success,2025-09-15T13:24:12.785Z
cmw-domain-collections,https://gitlab.com/dish-cloud/sling/hydra/collections/cmw-domain-collections/-/pipelines/2041470476,success,2025-09-16T03:15:38.072Z
hydration-orchestrator,https://gitlab.com/dish-cloud/sling/hydra/go-library/hydration-orchestrator/-/pipelines/2003917384,skipped,2025-08-26T10:29:04.974Z
cmwnext-player,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-player/-/pipelines/2041454444,success,2025-09-16T03:03:02.125Z
cmwnext-api-lambda-authorizer,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-api-lambda-authorizer/-/pipelines/2003910073,skipped,2025-08-26T10:24:34.195Z
cmwnext-emns,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-emns/-/pipelines/2040640882,manual,2025-09-15T15:49:22.957Z
cmwnext-consumer,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-consumer/-/pipelines/2040510535,success,2025-09-15T14:50:00.693Z
cmwnext-miscellaneous,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-miscellaneous/-/pipelines/2003911825,skipped,2025-08-26T10:25:34.051Z
cmwnext-msg,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-msg/-/pipelines/2038985915,skipped,2025-09-14T18:11:23.100Z
cmwnext-api-key-provider,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-api-key-provider/-/pipelines/2003909343,skipped,2025-08-26T10:24:19.329Z
cmwnext-user-entitlements,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-user-entitlements/-/pipelines/2040228396,failed,2025-09-15T12:38:39.612Z
cmwnext-router,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-router/-/pipelines/2003914671,skipped,2025-08-26T10:27:23.538Z
channel-cache,https://gitlab.com/dish-cloud/sling/hydra/channel-cache/-/pipelines/2003908136,skipped,2025-08-26T10:23:46.425Z
response-config-parser,https://gitlab.com/dish-cloud/sling/hydra/response-config-parser/-/pipelines/2003916369,skipped,2025-08-26T10:28:28.842Z
experience-profiles,https://gitlab.com/dish-cloud/sling/hydra/experience-profiles/-/pipelines/2040960187,success,2025-09-15T18:56:39.723Z
cmwnext-profiles,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-profiles/-/pipelines/2041494728,manual,2025-09-16T03:42:09.584Z
cmwnext-response-config,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-response-config/-/pipelines/2009347791,success,2025-08-28T15:10:06.784Z
cmwnext-api,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-api/-/pipelines/2003908913,skipped,2025-08-26T10:24:08.937Z
cmwnext-ota,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-ota/-/pipelines/2003912012,skipped,2025-08-26T10:25:40.144Z
cmwnext-config,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-config/-/pipelines/2040470219,success,2025-09-15T14:27:23.608Z
cmwnext-user,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-user/-/pipelines/2041497213,manual,2025-09-16T03:44:20.193Z
cmwnext-resumes,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-resumes/-/pipelines/2040244988,failed,2025-09-15T12:47:14.172Z
cmwnext-rsdvr,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-rsdvr/-/pipelines/2041492078,manual,2025-09-16T03:38:58.136Z
cmwnext-favorites,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-favorites/-/pipelines/2041478305,manual,2025-09-16T03:23:39.391Z
cmwnext-parents,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-parents/-/pipelines/2040983545,success,2025-09-15T19:08:33.999Z
cmwnext-presentation,https://gitlab.com/dish-cloud/sling/hydra/cmwnext-presentation/-/pipelines/2041463416,success,2025-09-16T03:07:19.297Z
cmwnext,https://gitlab.com/dish-cloud/sling/hydra/cmwnext/-/pipelines/2041488974,manual,2025-09-16T03:35:02.112Z
